id,content,choices
2203,肘関節を曲げる運動を何という？,"屈曲,伸展,外転,回旋,内転"

2204,膝関節を伸ばす運動を何という？,"伸展,屈曲,内転,外旋,外転"

2205,腕を体側から離す運動は？,"外転,内転,屈曲,回内,伸展"

2206,脚を身体中央へ近づける運動は？,"内転,外転,伸展,回外,屈曲"

2207,前腕で手のひらを下へ向ける運動は？,"回内,回外,屈曲,外旋,伸展"

2208,前腕で手のひらを上へ向ける運動は？,"回外,回内,内転,伸展,外転"

2209,肩関節で腕を前へ上げる運動は？,"屈曲,伸展,内旋,外転,外旋"

2210,股関節で脚を後ろへ引く運動は？,"伸展,屈曲,内転,回内,外転"

2211,足先を上へ向ける足関節運動は？,"背屈,底屈,回内,外転,内転"

2212,つま先立ちで起こる足関節運動は？,"底屈,背屈,内転,外旋,外転"

2213,肩関節で腕を外へひねる運動は？,"外旋,内旋,屈曲,回内,伸展"

2214,股関節で脚を内側へひねる運動は？,"内旋,外旋,外転,回外,屈曲"

2215,肩甲骨を上へ持ち上げる運動は？,"挙上,下制,内転,回旋,外転"

2216,肩甲骨を下へ下げる運動は？,"下制,挙上,外転,回内,内転"

2217,肩甲骨を背骨へ近づける運動は？,"内転,外転,屈曲,底屈,挙上"

2218,肩関節屈曲の正常可動域は？,"180°,90°,45°,60°"
2219,肩関節伸展の正常可動域は？,"50°,180°,120°,90°"
2220,肩関節外転の正常可動域は？,"180°,70°,30°,90°"
2221,肘関節屈曲の正常可動域は？,"145°,90°,180°,30°"
2222,肘関節伸展の正常可動域は？,"0°,90°,45°,180°"
2223,前腕回内の正常可動域は？,"90°,45°,180°,20°"
2224,前腕回外の正常可動域は？,"90°,30°,120°,60°"
2225,股関節屈曲の正常可動域は？,"125°,45°,180°,70°"
2226,股関節伸展の正常可動域は？,"15°,90°,45°,180°"
2227,膝関節屈曲の正常可動域は？,"130°,45°,90°,180°"
2228,膝関節伸展の正常可動域は？,"0°,30°,90°,150°"
2229,足関節背屈の正常可動域は？,"20°,45°,90°,5°"
2230,足関節底屈の正常可動域は？,"45°,20°,90°,10°"
2231,頸部回旋の正常可動域は？,"60°,20°,180°,10°"
2232,体幹前屈の正常可動域は？,"45°,10°,90°,180°"
2233,大臀筋の主な作用は？,"股関節伸展,膝伸展,肩外転,肘屈曲"
2234,大腿四頭筋の主な作用は？,"膝関節伸展,股関節屈曲,足関節底屈,肩関節外転"
2235,ハムストリングスの主な作用は？,"膝関節屈曲,膝関節伸展,肩関節屈曲,足関節背屈"
2236,前脛骨筋の主な作用は？,"足関節背屈,足関節底屈,膝屈曲,股関節伸展"
2237,腓腹筋の主な作用は？,"足関節底屈,足関節背屈,膝伸展,肩外旋"
2238,上腕二頭筋の主な作用は？,"肘関節屈曲,肘関節伸展,肩関節内転,膝屈曲"
2239,上腕三頭筋の主な作用は？,"肘関節伸展,肘関節屈曲,肩関節外転,足関節底屈"
2240,三角筋中部線維の主な作用は？,"肩関節外転,肩関節伸展,肘屈曲,股関節内転"
2241,中臀筋の主な作用は？,"股関節外転,股関節内転,膝伸展,足関節底屈"
2242,大胸筋の主な作用は？,"肩関節内転,膝伸展,足関節背屈,頸部伸展"
2243,広背筋の主な作用は？,"肩関節伸展,膝屈曲,足関節底屈,肘伸展"
2244,腹直筋の主な作用は？,"体幹屈曲,体幹伸展,肩外転,股関節外旋"
2245,脊柱起立筋の主な作用は？,"体幹伸展,体幹屈曲,膝屈曲,肘伸展"
2246,僧帽筋上部線維の主な作用は？,"肩甲骨挙上,肩甲骨下制,股関節屈曲,膝伸展"
2247,前鋸筋の主な作用は？,"肩甲骨外転,肩甲骨内転,肩関節屈曲,股関節伸展"
2248,歩行周期で最初に踵が接地する時期は？,"初期接地,立脚終期,遊脚中期,前遊脚期"
2249,歩行周期で片脚支持となる時期は？,"立脚中期,初期接地,両脚支持期,前遊脚期"
2250,歩行周期で足尖が地面から離れる時期は？,"前遊脚期,立脚中期,初期接地,遊脚終期"
2251,歩行時に最も重要な足関節運動は？,"背屈と底屈,回内と回外,内転と外転,屈曲と伸展"
2252,歩行時の推進力に関与する筋は？,"腓腹筋,上腕二頭筋,大胸筋,僧帽筋"
2253,歩行時に骨盤安定に重要な筋は？,"中臀筋,大胸筋,上腕三頭筋,腹直筋"
2254,歩行時に踵接地直後に働きやすい筋は？,"前脛骨筋,腓腹筋,大臀筋,大腿二頭筋"
2255,通常歩行で最も長い時期は？,"立脚期,遊脚期,前遊脚期,初期接地"
2256,通常歩行で遊脚期は歩行周期の何％程度？,"40%,60%,20%,80%"
2257,歩行時に体重支持を行う時期は？,"立脚期,遊脚期,前遊脚期,遊脚終期"
2258,歩幅を何という？,"ストライド長,歩隔,歩行率,支持基底面"
2259,左右の足の幅を何という？,"歩隔,歩幅,歩行率,立脚期"
2260,歩行速度に関係するものは？,"歩幅と歩行率,筋力のみ,身長のみ,肺活量のみ"
2261,歩行時に股関節伸展へ関与する筋は？,"大臀筋,前脛骨筋,上腕二頭筋,前鋸筋"
2262,遊脚期に足尖クリアランス確保へ重要な筋は？,"前脛骨筋,大胸筋,腹直筋,広背筋"
2263,正常姿勢で耳垂はどこと一直線に近い？,"肩峰,膝蓋骨,足趾,肘頭"
2264,猫背姿勢で増加しやすい脊柱弯曲は？,"胸椎後弯,腰椎前弯,頸椎前弯,仙骨後弯"
2265,反り腰で増加しやすい弯曲は？,"腰椎前弯,胸椎後弯,頸椎後弯,仙骨前弯"
2266,姿勢保持に重要な筋は？,"脊柱起立筋,上腕二頭筋,大胸筋,前鋸筋"
2267,立位姿勢で重心線が通りやすい部位は？,"大転子やや後方,膝蓋骨前方,踵後方,足趾先端"
2268,長時間不良姿勢で起こりやすいものは？,"筋疲労,骨伸長,身長増加,筋肥大"
2269,座位姿勢で骨盤後傾すると起こりやすいものは？,"猫背,反り腰,肩外転,股関節外旋"
2270,姿勢制御に重要な感覚は？,"視覚,味覚,嗅覚,触覚のみ"
2271,平衡感覚に関与する器官は？,"前庭器,肺,腎臓,胃"
2272,姿勢保持で重要な筋群を何という？,"抗重力筋,呼吸筋,表情筋,咀嚼筋"
2273,正常立位で膝関節はどうなりやすい？,"軽度伸展位,深屈曲位,完全屈曲位,外旋位"
2274,頭部前方姿勢で負担が増えやすい部位は？,"頸部,足関節,股関節,手関節"
2275,姿勢保持に重要な中枢は？,"小脳,胃,腎臓,脾臓"
2276,左右非対称姿勢で起こりやすいものは？,"筋バランス不良,肺活量増加,骨延長,血圧低下"
2277,姿勢保持に重要な足部機能は？,"支持基底面形成,呼吸補助,視覚調節,嚥下"
2278,てこの支点となる部分を何という？,"支点,力点,作用点,回転点"
2279,筋力が加わる部分を何という？,"力点,支点,重心,軸心"
2280,身体に加わる重力の作用点を何という？,"重心,支点,力点,回転軸"
2281,関節運動の回転中心を何という？,"関節軸,重心,支持面,作用点"
2282,第1種てこの例として適切なのは？,"頸部伸展,肘屈曲,つま先立ち,握力"
2283,第2種てこの例として適切なのは？,"つま先立ち,肘屈曲,頸部伸展,肩外転"
2284,第3種てこの例として適切なのは？,"肘屈曲,つま先立ち,頸部伸展,立位保持"
2285,支持基底面が広いとどうなる？,"安定性が増す,不安定になる,重心が消える,筋力が不要になる"
2286,重心が低いほどどうなる？,"安定性が増す,転倒しやすい,筋力低下する,歩幅が減る"
2287,歩行時の推進力に関与しやすい筋は？,"腓腹筋,上腕二頭筋,大胸筋,僧帽筋"
2288,摩擦力が大きいとどうなる？,"滑りにくい,滑りやすい,重力消失,筋収縮停止"
2289,トルクとは何か？,"回転させる力,直線運動,重力のみ,摩擦消失"
2290,関節モーメントに影響するものは？,"力の大きさと距離,身長のみ,体温のみ,呼吸数のみ"
2291,立位で重心線が支持基底面外へ出るとどうなる？,"転倒しやすい,安定する,筋疲労消失,呼吸停止"
2292,歩行時の衝撃吸収に関与するものは？,"関節屈曲,筋停止,骨固定,重心上昇"
2293,立ち上がり動作で最初に起こりやすい動きは？,"体幹前傾,膝伸展,肩外転,頸部伸展"
2294,立ち上がり動作で主に働く筋は？,"大腿四頭筋,上腕二頭筋,前鋸筋,僧帽筋"
2295,歩行時の蹴り出しに重要な筋は？,"腓腹筋,大胸筋,広背筋,上腕三頭筋"
2296,歩行時の骨盤安定に重要な筋は？,"中臀筋,腹直筋,大胸筋,前腕屈筋"
2297,階段昇段で重要な関節運動は？,"膝伸展,肘屈曲,肩外転,頸部回旋"
2299,歩行時に足尖クリアランス確保へ重要な筋は？,"前脛骨筋,大臀筋,広背筋,僧帽筋"
2300,物を持ち上げる時に重要な姿勢は？,"膝屈曲,頸部伸展,肩外転,足関節固定"
2301,片脚立位で安定性に重要なものは？,"支持基底面,呼吸数,視力のみ,握力"
2302,歩行速度に影響する要素は？,"歩幅と歩行率,身長のみ,肺活量のみ,握力のみ"
2303,立位姿勢保持に重要な筋は？,"脊柱起立筋,上腕二頭筋,大胸筋,咬筋"
