id,content,choices
1,鎖骨はどこに存在する骨か？,"肩甲帯,下腿,頭部,骨盤"
2,肩甲骨はどこに位置する骨か？,"背部,胸部前面,下腿,前腕"
3,膝関節前面に存在する骨はどれか？,"膝蓋骨,距骨,踵骨,肩甲骨"
4,足関節を構成する骨はどれか？,"距骨,大腿骨,尺骨,胸骨"
5,踵を形成する骨はどれか？,"踵骨,舟状骨,立方骨,腓骨"
6,脊柱を構成する骨はどれか？,"椎骨,寛骨,肩甲骨,肋骨"
7,胸郭を構成する骨はどれか？,"肋骨,大腿骨,脛骨,尺骨"
8,前腕内側に位置する骨はどれか？,"尺骨,橈骨,上腕骨,鎖骨"
9,前腕外側に位置する骨はどれか？,"橈骨,尺骨,肩甲骨,肋骨"
10,人体で最も長い骨はどれか？,"大腿骨,脛骨,上腕骨,腓骨"
11,下腿内側に位置する骨はどれか？,"脛骨,腓骨,大腿骨,距骨"
12,下腿外側に位置する骨はどれか？,"腓骨,脛骨,膝蓋骨,踵骨"
13,頭蓋骨に含まれる骨はどれか？,"前頭骨,上腕骨,寛骨,肋骨"
14,骨盤を構成する骨はどれか？,"寛骨,肩甲骨,胸骨,鎖骨"
15,胸部前面中央に存在する骨はどれか？,"胸骨,椎骨,尺骨,脛骨"
16,足根骨に含まれる骨はどれか？,"舟状骨,大腿骨,尺骨,肩甲骨"
17,手根骨に含まれる骨はどれか？,"有頭骨,脛骨,腓骨,肋骨"
18,上腕に存在する骨はどれか？,"上腕骨,尺骨,橈骨,胸骨"
19,骨盤後面中央に位置する骨はどれか？,"仙骨,踵骨,前頭骨,鎖骨"
20,尾骨はどこに存在する骨か？,"脊柱下端,胸部前面,頭部,前腕"
1713,大腿骨はどこに存在する？,"上腕,大腿,前腕,胸郭"
1714,肩甲骨は身体のどこにある？,"胸郭後面,骨盤,頭部,下腿"
1715,脛骨はどこに存在する？,"前腕,下腿,上腕,胸部"
1716,鎖骨と連結する骨は？,"肩甲骨,大腿骨,尺骨,脛骨"
1717,上腕骨の遠位端に存在するものは？,"滑車,大転子,内果,肩峰"
1718,肋骨は主に何を保護する？,"胸腔内臓器,脳,骨盤内臓器,膝関節"
1719,腓骨はどこに存在する？,"下腿外側,前腕内側,胸郭後面,骨盤"
1720,骨盤を構成しない骨は？,"肩甲骨,寛骨,仙骨,尾骨"
1721,尺骨はどこに存在する？,"前腕,下腿,大腿,胸部"
1722,胸骨はどこに存在する？,"胸部前面,背部,骨盤,頭部"
1723,膝蓋骨はどの関節の前面に存在する？,"膝関節,肩関節,股関節,足関節"
1724,頭蓋骨に含まれる骨は？,"前頭骨,肩甲骨,大腿骨,脛骨"
1725,踵骨はどこに存在する？,"足部,手部,前腕,胸部"
1726,寛骨を構成しないものは？,"肩甲骨,腸骨,恥骨,坐骨"
1727,橈骨はどこに存在する？,"前腕外側,下腿外側,胸部,骨盤"
1728,肩関節外転に関与する筋は？,"三角筋,大臀筋,ヒラメ筋,大胸筋"
1729,股関節伸展に強く関与する筋は？,"大臀筋,前脛骨筋,上腕二頭筋,三角筋"
1730,膝関節伸展に関与する筋は？,"大腿四頭筋,ハムストリングス,大臀筋,腓腹筋"
1731,足関節背屈に関与する筋は？,"前脛骨筋,ヒラメ筋,腓腹筋,長腓骨筋"
1732,肘関節屈曲に関与する筋は？,"上腕二頭筋,上腕三頭筋,大腿四頭筋,僧帽筋"
1733,肩甲骨挙上に関与する筋は？,"僧帽筋,腹直筋,前脛骨筋,大腿筋膜張筋"
1734,股関節屈曲に関与する筋は？,"腸腰筋,大臀筋,大腿二頭筋,ヒラメ筋"
1735,膝関節屈曲に関与する筋は？,"ハムストリングス,大腿四頭筋,中臀筋,前脛骨筋"
1736,足関節底屈に関与する筋は？,"腓腹筋,前脛骨筋,長趾伸筋,中臀筋"
1737,肩関節内旋に関与する筋は？,"大胸筋,棘下筋,小円筋,三角筋後部"
1738,肩関節外旋に関与する筋は？,"棘下筋,大胸筋,広背筋,烏口腕筋"
1739,体幹屈曲に関与する筋は？,"腹直筋,脊柱起立筋,僧帽筋,大臀筋"
1740,体幹伸展に関与する筋は？,"脊柱起立筋,腹直筋,大胸筋,前鋸筋"
1741,肩甲骨外転に関与する筋は？,"前鋸筋,菱形筋,僧帽筋,広背筋"
1742,肩甲骨内転に関与する筋は？,"菱形筋,前鋸筋,腹横筋,大腿筋膜張筋"
1743,大腿前面の感覚に関与する神経は？,"大腿神経,坐骨神経,橈骨神経,尺骨神経"
1744,下腿後面に強く関与する神経は？,"脛骨神経,腋窩神経,筋皮神経,正中神経"
1745,上腕三頭筋を支配する神経は？,"橈骨神経,尺骨神経,正中神経,腋窩神経"
1746,母指対立運動に重要な神経は？,"正中神経,尺骨神経,脛骨神経,腓骨神経"
1747,三角筋を支配する神経は？,"腋窩神経,筋皮神経,橈骨神経,正中神経"
1748,大腿後面を走行する代表的な神経は？,"坐骨神経,閉鎖神経,筋皮神経,橈骨神経"
1749,前腕屈筋群に多く関与する神経は？,"正中神経,橈骨神経,腓骨神経,脛骨神経"
1750,骨間筋を支配する神経は？,"尺骨神経,正中神経,橈骨神経,筋皮神経"
1751,前脛骨筋を支配する神経は？,"深腓骨神経,脛骨神経,大腿神経,閉鎖神経"
1752,大腿内転筋群に関与する神経は？,"閉鎖神経,坐骨神経,腋窩神経,橈骨神経"
1753,横隔膜を支配する神経は？,"横隔神経,迷走神経,顔面神経,副神経"
1754,表情筋を支配する脳神経は？,"顔面神経,三叉神経,舌下神経,視神経"
1755,咀嚼筋を支配する脳神経は？,"三叉神経,顔面神経,迷走神経,舌咽神経"
1756,僧帽筋に関与する脳神経は？,"副神経,舌下神経,顔面神経,動眼神経"
1757,舌の運動に関与する脳神経は？,"舌下神経,迷走神経,副神経,三叉神経"
1758,ガス交換を行う臓器は？,"肺,肝臓,腎臓,胃"
1759,尿を産生する臓器は？,"腎臓,肝臓,膵臓,脾臓"
1760,胆汁を産生する臓器は？,"肝臓,膵臓,胃,小腸"
1761,インスリンを分泌する臓器は？,"膵臓,肝臓,脾臓,肺"
1762,食物の消化を開始する臓器は？,"胃,腎臓,肺,脳"
1763,栄養吸収を主に行う臓器は？,"小腸,大腸,胃,食道"
1764,水分吸収を主に行う臓器は？,"大腸,肺,肝臓,胆嚢"
1765,血液を全身へ送り出す臓器は？,"心臓,肺,脾臓,胃"
1766,赤血球の破壊に関与する臓器は？,"脾臓,肺,膀胱,食道"
1767,尿を一時的に貯留する臓器は？,"膀胱,尿管,肝臓,胃"
1768,食物が胃へ送られる通路は？,"食道,気管,尿道,小腸"
1769,空気の通り道となる臓器は？,"気管,食道,尿管,胆管"
1770,胆汁を貯蔵する臓器は？,"胆嚢,膵臓,脾臓,腎臓"
1771,脳脊髄液で保護されている臓器は？,"脳,肝臓,心臓,胃"
1772,尿を膀胱へ運ぶ管は？,"尿管,尿道,食道,気管"
1773,全身へ血液を送る最も太い動脈は？,"大動脈,肺動脈,冠動脈,腎動脈"
1774,肺へ向かう血液を運ぶ血管は？,"肺動脈,肺静脈,大静脈,冠動脈"
1775,肺から心臓へ血液を戻す血管は？,"肺静脈,肺動脈,大動脈,門脈"
1776,心筋へ血液を供給する血管は？,"冠動脈,肺動脈,腎動脈,脳動脈"
1777,上半身から血液を心臓へ戻す静脈は？,"上大静脈,下大静脈,門脈,肺静脈"
1778,下半身から血液を心臓へ戻す静脈は？,"下大静脈,上大静脈,肺静脈,冠静脈"
1779,肝臓へ栄養豊富な血液を送る血管は？,"門脈,大動脈,肺動脈,冠動脈"
1780,腎臓へ血液を送る血管は？,"腎動脈,冠動脈,肺静脈,門脈"
1781,脳へ血液を送る主要な血管は？,"内頸動脈,腎静脈,門脈,大腿静脈"
1782,大腿部を走行する代表的な動脈は？,"大腿動脈,橈骨動脈,脳底動脈,肺動脈"
1783,手関節で脈拍確認に使われる血管は？,"橈骨動脈,肺静脈,冠静脈,門脈"
1784,下腿後面を走行する代表的な動脈は？,"後脛骨動脈,冠動脈,脳動脈,腋窩動脈"
1785,腋窩部を走行する動脈は？,"腋窩動脈,脾動脈,肺動脈,腎静脈"
1786,脾臓へ血液を送る血管は？,"脾動脈,門脈,冠静脈,大腿静脈"
1787,血液を心臓へ戻す血管は一般に何と呼ばれる？,"静脈,動脈,毛細血管,リンパ管"
1788,心臓は肺に対してどの位置にある？,"内側,外側,後方,下方"
1789,胃は横隔膜に対してどの位置にある？,"下方,上方,前方,外側"
1790,脊髄は椎体に対してどの位置にある？,"後方,前方,上方,外側"
1791,胸骨は心臓に対してどの位置にある？,"前方,後方,下方,内側"
1792,脛骨は腓骨に対してどの位置にある？,"内側,外側,後方,浅層"
1793,橈骨は尺骨に対してどの位置にある？,"外側,内側,後方,深部"
1794,膝蓋骨は大腿骨に対してどの位置にある？,"前方,後方,外側,深部"
1795,脳は脊髄に対してどの位置にある？,"上方,下方,内側,外側"
1796,皮膚は筋肉に対してどの位置にある？,"浅層,深層,内側,後方"
1797,肺は心臓に対してどの位置にある？,"外側,内側,前方,深部"
1798,気管は食道に対してどの位置にある？,"前方,後方,下方,内側"
1799,肩甲骨は胸郭に対してどの位置にある？,"後方,前方,下方,内側"
1800,前脛骨筋は脛骨に対してどの位置にある？,"外側,内側,深部,後方"
1801,大腸は小腸に対してどの位置にある？,"外側,内側,深部,上方"
1802,心臓は胸骨に対してどの位置にある？,"後方,前方,外側,浅層"
1924,静止膜電位で細胞内に多いイオンは？,"カリウムイオン,ナトリウムイオン,カルシウムイオン,塩化物イオン"
1925,神経細胞同士の接合部を何という？,"シナプス,筋紡錘,軸索,受容器"
1926,髄鞘形成により速くなる伝導様式は？,"跳躍伝導,拡散伝導,持続伝導,遅延伝導"
1927,中枢神経系に含まれるものは？,"脳,脊髄神経,末梢神経,自律神経"
1928,感覚情報を中枢へ送る神経を何という？,"求心性神経,遠心性神経,運動神経,副交感神経"
1929,筋へ命令を送る神経は？,"遠心性神経,求心性神経,感覚神経,介在神経"
1930,交感神経が優位な状態は？,"緊張時,睡眠時,安静時,消化時"
1931,副交感神経が優位な状態は？,"安静時,運動時,興奮時,緊張時"
1932,脳幹に含まれないものは？,"大脳,中脳,橋,延髄"
1933,反射の中枢となる部位は？,"脊髄,大脳皮質,小脳,視床"
1934,運動の協調に関与する部位は？,"小脳,視床下部,延髄,脊髄"
1935,体温調節中枢が存在する部位は？,"視床下部,小脳,橋,脊髄"
1936,呼吸中枢が存在する部位は？,"延髄,小脳,視床,海馬"
1937,短期記憶に関与する部位は？,"海馬,小脳,延髄,脊髄"
1942,骨格筋の基本単位を何という？,"筋節,神経節,軸索,骨単位"
1943,筋線維を包む膜は？,"筋細胞膜,滑膜,骨膜,漿膜"
1944,速筋線維の特徴は？,"瞬発力に優れる,疲れにくい,赤色が強い,持久力が高い"
1945,遅筋線維の特徴は？,"疲れにくい,瞬発力が高い,白色が強い,収縮速度が速い"
1948,筋線維の収縮を引き起こす刺激は？,"活動電位,静止膜電位,骨形成,拡散"
1949,筋と骨を連結する組織は？,"腱,靭帯,軟骨,滑膜"
1950,筋紡錘の主な役割は？,"筋長の感知,血流調節,骨形成,脂肪分解"
1951,ゴルジ腱器官の主な役割は？,"筋張力の感知,温度感知,痛覚伝達,呼吸調節"
1952,筋疲労時に増加しやすい物質は？,"乳酸,カルシウム,ヘモグロビン,インスリン"
1953,全身へ血液を送り出す臓器は？,"心臓,肺,肝臓,腎臓"
1954,酸素を多く含む血液を何という？,"動脈血,静脈血,門脈血,リンパ液"
1955,右心室から血液が送られる先は？,"肺,肝臓,脳,腎臓"
1956,左心室から送り出される血管は？,"大動脈,肺動脈,上大静脈,門脈"
1957,脈拍として触れやすい血管は？,"橈骨動脈,肺静脈,門脈,冠静脈"
1958,血圧が最も高い血管は？,"大動脈,大静脈,肺静脈,毛細血管"
1959,ガス交換が行われる血管は？,"毛細血管,大動脈,上大静脈,門脈"
1960,心拍数を増加させる神経は？,"交感神経,副交感神経,視神経,顔面神経"
1961,心拍数を低下させる神経は？,"副交感神経,交感神経,橈骨神経,脛骨神経"
1962,血液中で酸素を運搬するものは？,"ヘモグロビン,アルブミン,インスリン,グルコース"
1963,赤血球が作られる主な場所は？,"骨髄,脾臓,肝臓,肺"
1964,止血に関与する血球は？,"血小板,赤血球,白血球,リンパ球"
1965,免疫に関与する血球は？,"白血球,赤血球,血小板,ヘモグロビン"
1966,肺循環の目的は？,"ガス交換,栄養吸収,消化,体温調節"
1967,心臓の拍動を開始する部位は？,"洞房結節,房室結節,心室中隔,大動脈"
1968,ガス交換が行われる場所は？,"肺胞,気管,横隔膜,咽頭"
1969,呼吸運動に最も重要な筋は？,"横隔膜,大臀筋,僧帽筋,上腕二頭筋"
1970,吸気時の横隔膜の動きは？,"下降,上昇,回旋,停止"
1971,呼気時の肺の状態は？,"縮小,拡張,停止,固定"
1974,二酸化炭素濃度上昇で起こる反応は？,"呼吸促進,呼吸停止,脈拍低下,血圧低下"
1975,空気の通り道となる器官は？,"気管,食道,尿管,胆管"
1976,肺を包む膜を何という？,"胸膜,腹膜,骨膜,滑膜"
1977,吸気時に胸腔内圧はどうなる？,"低下する,上昇する,変化しない,停止する"
1978,肺活量に含まれないものは？,"残気量,予備吸気量,1回換気量,予備呼気量"
1979,咳反射に関与する目的は？,"異物除去,消化促進,循環促進,筋収縮"
1980,呼吸で体外へ排出される主なものは？,"二酸化炭素,酸素,窒素,カルシウム"
1981,酸素が最終的に利用される場所は？,"細胞,胃,腎臓,骨"
1982,呼吸数増加を何という？,"頻呼吸,徐脈,無呼吸,徐呼吸"
1983,胃の主な役割は？,"食物の消化,ガス交換,尿生成,血液循環"
1984,小腸の主な役割は？,"栄養吸収,ガス交換,血液産生,体温調節"
1985,大腸の主な役割は？,"水分吸収,酸素交換,筋収縮,造血"
1986,肝臓で産生されるものは？,"胆汁,インスリン,尿,赤血球"
1990,尿を一時的に蓄える臓器は？,"膀胱,胃,肝臓,肺"
1991,脾臓の主な役割は？,"古い赤血球の処理,尿生成,酸素交換,胆汁分泌"
1992,食道の役割は？,"食物を胃へ送る,酸素交換,胆汁分泌,尿貯留"
1993,肺の主な役割は？,"ガス交換,尿生成,栄養吸収,血糖調節"
1994,血糖値低下時に分泌されるホルモンは？,"グルカゴン,インスリン,アドレナリン,カルシトニン"
1995,胃酸の主成分は？,"塩酸,硫酸,乳酸,炭酸"
1996,腎臓で調節されるものは？,"体液量,記憶,視覚,聴覚"
1997,便が形成される主な場所は？,"大腸,胃,食道,膵臓"
1999,血糖値を低下させるホルモンは？,"インスリン,グルカゴン,アドレナリン,コルチゾール"
2000,血糖値を上昇させるホルモンは？,"グルカゴン,インスリン,カルシトニン,メラトニン"
2001,ストレス時に分泌されやすいホルモンは？,"アドレナリン,インスリン,メラトニン,オキシトシン"
2002,基礎代謝を高めるホルモンは？,"甲状腺ホルモン,インスリン,グルカゴン,成長ホルモン"
2003,成長に関与するホルモンは？,"成長ホルモン,アドレナリン,アルドステロン,メラトニン"
2004,カルシウム代謝に関与するホルモンは？,"カルシトニン,インスリン,グルカゴン,アドレナリン"
2005,睡眠に関与するホルモンは？,"メラトニン,インスリン,コルチゾール,アルドステロン"
2006,副腎皮質から分泌されるホルモンは？,"コルチゾール,インスリン,グルカゴン,オキシトシン"
2007,体内の水分調節に関与するホルモンは？,"抗利尿ホルモン,インスリン,メラトニン,カルシトニン"
2008,子宮収縮に関与するホルモンは？,"オキシトシン,アドレナリン,グルカゴン,成長ホルモン"
2009,血圧調節に関与するホルモンは？,"アルドステロン,メラトニン,インスリン,カルシトニン"
2010,女性ホルモンの一つは？,"エストロゲン,テストステロン,アドレナリン,インスリン"
2011,男性ホルモンの代表は？,"テストステロン,エストロゲン,メラトニン,オキシトシン"
2012,ホルモン分泌を統括する部位は？,"下垂体,小脳,脊髄,延髄"
2013,食物の消化が始まる場所は？,"口腔,胃,小腸,大腸"
2014,唾液に含まれる消化酵素は？,"アミラーゼ,ペプシン,リパーゼ,トリプシン"
2015,胃液に含まれる消化酵素は？,"ペプシン,アミラーゼ,ラクターゼ,マルターゼ"
2018,栄養吸収の中心となる器官は？,"小腸,大腸,胃,食道"
2019,水分吸収に関与する器官は？,"大腸,胃,食道,口腔"
2020,膵液を分泌する臓器は？,"膵臓,肝臓,脾臓,胆嚢"
2021,食物を胃へ送る器官は？,"食道,気管,尿管,十二指腸"
2022,脂肪の消化を助けるものは？,"胆汁,胃酸,インスリン,唾液"
2024,消化管の運動を何という？,"蠕動運動,反射運動,伸展運動,屈曲運動"
2025,タンパク質の最終的な分解産物は？,"アミノ酸,脂肪酸,グルコース,乳酸"
2026,炭水化物の最終的な分解産物は？,"グルコース,アミノ酸,脂肪酸,尿素"
2029,発汗の主な目的は？,"体温低下,血糖上昇,酸素運搬,筋収縮"
2030,寒い時に起こりやすい反応は？,"血管収縮,発汗増加,呼吸停止,血糖低下"
2031,暑い時に起こりやすい反応は？,"血管拡張,血管収縮,筋緊張低下,心停止"
2032,恒常性を何という？,"ホメオスタシス,アポトーシス,シナプス,ミオシン"
2033,血糖値が低下した時に分泌されるホルモンは？,"グルカゴン,インスリン,メラトニン,カルシトニン"
2035,脱水時に分泌が増えるホルモンは？,"抗利尿ホルモン,成長ホルモン,インスリン,甲状腺ホルモン"
2036,体液量調節に関与する臓器は？,"腎臓,肺,脾臓,胃"
2037,体温上昇時に増える反応は？,"発汗,震え,血管収縮,鳥肌"
2038,寒冷時にみられる筋反応は？,"震え,弛緩,麻痺,収縮停止"
2039,pH調節に関与する器官は？,"肺,骨,皮膚,筋肉"
2040,体液中で最も多い陽イオンは？,"ナトリウムイオン,カルシウムイオン,鉄イオン,マグネシウムイオン"
2041,体温を逃がしにくくする反応は？,"血管収縮,血管拡張,発汗,頻呼吸"
2042,恒常性維持に関与しないものは？,"骨折,呼吸,循環,腎機能"
2203,肘関節を曲げる運動を何という？,"屈曲,伸展,外転,回旋"
2204,膝関節を伸ばす運動を何という？,"伸展,屈曲,内転,外旋"
2205,腕を体側から離す運動は？,"外転,内転,屈曲,回内"
2206,脚を身体中央へ近づける運動は？,"内転,外転,伸展,回外"
2207,前腕で手のひらを下へ向ける運動は？,"回内,回外,屈曲,外旋"
2208,前腕で手のひらを上へ向ける運動は？,"回外,回内,内転,伸展"
2209,肩関節で腕を前へ上げる運動は？,"屈曲,伸展,内旋,外転"
2210,股関節で脚を後ろへ引く運動は？,"伸展,屈曲,内転,回内"
2211,足先を上へ向ける足関節運動は？,"背屈,底屈,回内,外転"
2212,つま先立ちで起こる足関節運動は？,"底屈,背屈,内転,外旋"
2213,肩関節で腕を外へひねる運動は？,"外旋,内旋,屈曲,回内"
2214,股関節で脚を内側へひねる運動は？,"内旋,外旋,外転,回外"
2215,肩甲骨を上へ持ち上げる運動は？,"挙上,下制,内転,回旋"
2216,肩甲骨を下へ下げる運動は？,"下制,挙上,外転,回内"
2217,肩甲骨を背骨へ近づける運動は？,"内転,外転,屈曲,底屈"
2218,肩関節屈曲の正常可動域は？,"180°,90°,45°,60°"
2219,肩関節伸展の正常可動域は？,"50°,180°,120°,90°"
2220,肩関節外転の正常可動域は？,"180°,70°,30°,90°"
2221,肘関節屈曲の正常可動域は？,"145°,90°,180°,30°"
2222,肘関節伸展の正常可動域は？,"0°,90°,45°,180°"
2223,前腕回内の正常可動域は？,"90°,45°,180°,20°"
2224,前腕回外の正常可動域は？,"90°,30°,120°,60°"
2225,股関節屈曲の正常可動域は？,"125°,45°,180°,70°"
2226,股関節伸展の正常可動域は？,"15°,90°,45°,180°"
2227,膝関節屈曲の正常可動域は？,"130°,45°,90°,180°"
2228,膝関節伸展の正常可動域は？,"0°,30°,90°,150°"
2229,足関節背屈の正常可動域は？,"20°,45°,90°,5°"
2230,足関節底屈の正常可動域は？,"45°,20°,90°,10°"
2231,頸部回旋の正常可動域は？,"60°,20°,180°,10°"
2232,体幹前屈の正常可動域は？,"45°,10°,90°,180°"
2233,大臀筋の主な作用は？,"股関節伸展,膝伸展,肩外転,肘屈曲"
2234,大腿四頭筋の主な作用は？,"膝関節伸展,股関節屈曲,足関節底屈,肩関節外転"
2235,ハムストリングスの主な作用は？,"膝関節屈曲,膝関節伸展,肩関節屈曲,足関節背屈"
2236,前脛骨筋の主な作用は？,"足関節背屈,足関節底屈,膝屈曲,股関節伸展"
2237,腓腹筋の主な作用は？,"足関節底屈,足関節背屈,膝伸展,肩外旋"
2238,上腕二頭筋の主な作用は？,"肘関節屈曲,肘関節伸展,肩関節内転,膝屈曲"
