id,content,choices
2203,肘関節を曲げる運動を何という？,"屈曲,伸展,外転,回旋"
2204,膝関節を伸ばす運動を何という？,"伸展,屈曲,内転,外旋"
2205,腕を体側から離す運動は？,"外転,内転,屈曲,回内"
2206,脚を身体中央へ近づける運動は？,"内転,外転,伸展,回外"
2207,前腕で手のひらを下へ向ける運動は？,"回内,回外,屈曲,外旋"
2208,前腕で手のひらを上へ向ける運動は？,"回外,回内,内転,伸展"
2209,肩関節で腕を前へ上げる運動は？,"屈曲,伸展,内旋,外転"
2210,股関節で脚を後ろへ引く運動は？,"伸展,屈曲,内転,回内"
2211,足先を上へ向ける足関節運動は？,"背屈,底屈,回内,外転"
2212,つま先立ちで起こる足関節運動は？,"底屈,背屈,内転,外旋"
2213,肩関節で腕を外へひねる運動は？,"外旋,内旋,屈曲,回内"
2214,股関節で脚を内側へひねる運動は？,"内旋,外旋,外転,回外"
2215,肩甲骨を上へ持ち上げる運動は？,"挙上,下制,内転,回旋"
2216,肩甲骨を下へ下げる運動は？,"下制,挙上,外転,回内"
2217,肩甲骨を背骨へ近づける運動は？,"内転,外転,屈曲,底屈"
2218,肩関節屈曲の正常可動域は？,"180°,90°,45°,60°"
2219,肩関節伸展の正常可動域は？,"50°,180°,120°,90°"
2220,肩関節外転の正常可動域は？,"180°,70°,30°,90°"
2221,肘関節屈曲の正常可動域は？,"145°,90°,180°,30°"
2222,肘関節伸展の正常可動域は？,"0°,90°,45°,180°"
2223,前腕回内の正常可動域は？,"90°,45°,180°,20°"
2224,前腕回外の正常可動域は？,"90°,30°,120°,60°"
2225,股関節屈曲の正常可動域は？,"125°,45°,180°,70°"
2226,股関節伸展の正常可動域は？,"15°,90°,45°,180°"
2227,膝関節屈曲の正常可動域は？,"130°,45°,90°,180°"
2228,膝関節伸展の正常可動域は？,"0°,30°,90°,150°"
2229,足関節背屈の正常可動域は？,"20°,45°,90°,5°"
2230,足関節底屈の正常可動域は？,"45°,20°,90°,10°"
2231,頸部回旋の正常可動域は？,"60°,20°,180°,10°"
2232,体幹前屈の正常可動域は？,"45°,10°,90°,180°"
2233,大臀筋の主な作用は？,"股関節伸展,膝伸展,肩外転,肘屈曲"
2234,大腿四頭筋の主な作用は？,"膝関節伸展,股関節屈曲,足関節底屈,肩関節外転"
2235,ハムストリングスの主な作用は？,"膝関節屈曲,膝関節伸展,肩関節屈曲,足関節背屈"
2236,前脛骨筋の主な作用は？,"足関節背屈,足関節底屈,膝屈曲,股関節伸展"
2237,腓腹筋の主な作用は？,"足関節底屈,足関節背屈,膝伸展,肩外旋"
2238,上腕二頭筋の主な作用は？,"肘関節屈曲,肘関節伸展,肩関節内転,膝屈曲"
2239,上腕三頭筋の主な作用は？,"肘関節伸展,肘関節屈曲,肩関節外転,足関節底屈"
2240,三角筋中部線維の主な作用は？,"肩関節外転,肩関節伸展,肘屈曲,股関節内転"
2241,中臀筋の主な作用は？,"股関節外転,股関節内転,膝伸展,足関節底屈"
2242,大胸筋の主な作用は？,"肩関節内転,膝伸展,足関節背屈,頸部伸展"
2243,広背筋の主な作用は？,"肩関節伸展,膝屈曲,足関節底屈,肘伸展"
2244,腹直筋の主な作用は？,"体幹屈曲,体幹伸展,肩外転,股関節外旋"
